zinc_id,smiles,Predictive Results
ZINC000098052700,CN1CCN(C(=O)CN[C@@H]2C[C@H]2c2ccc(OCc3ccccc3)cc2)CC1,7.180956758369007
ZINC000169621139,NNCCc1ccc(NC(=O)CCCc2ccccc2)cc1,7.130197595478334
ZINC000094088493,NC1CCC(N[C@@H]2C[C@H]2c2ccccc2)CC1,7.510424183231001
ZINC000114026926,N[C@H]1C[C@@H]1c1ccc(-c2cccc(O)c2)cc1,7.599762855085372
ZINC000072321648,COc1ccc([C@H]2C[C@@H](O)[C@@H](O)[C@@H]2NC2CCOCC2)cc1,7.020402604243659
ZINC000038942511,CC1(C)[C@H]2CC[C@]1(CS(=O)(=O)N1CCC3(C=Cc4ccccc43)CC1)[C@@](O)(CC(=O)O)C2,7.029734244871716
ZINC000040414461,CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)[C@H]1COc2ccccc2O1,7.065649296753289
ZINC000057407777,C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,7.690298311857001
ZINC000022449627,COc1ccc(-c2ccc(C#N)cc2F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,7.119996489110832
ZINC000044675892,c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1,7.112337366928251
ZINC000068204276,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccccc3)cc2)CC1,7.339940010646192
